Quarter,Disney+ Subscribers,Netflix Subscribers,Peacock Subscribers,Hulu Subscribers,Disney Sub Change Q2Q,Netflix Sub Change Q2Q,Hulu Sub Change Q2Q,Peacock Sub Change Q2Q
20Q1,26.5,182.86,#N/A,30.40,26.5,15.77,1.9,#N/A
20Q2,33.5,192.95,#N/A,32.10,7,10.09,1.70,#N/A
20Q3,60.5,195.15,#N/A,35.50,27,2.2,3.40,#N/A
20Q4,73.7,203.66,#N/A,36.60,13.2,8.51,1.10,#N/A
21Q1,94.9,207.64,#N/A,39.40,21.2,3.98,2.80,#N/A
21Q2,103.6,209.18,4,41.60,8.7,1.54,2.20,#N/A
21Q3,116,213.56,6.5,42.80,12.4,4.38,1.20,3
21Q4,118.1,221.84,9,43.80,2.1,8.28,1.00,3
22Q1,129.8,221.64,13,45.30,11.7,-0.2,1.50,4
22Q2,137.7,220.67,13,45.60,7.9,-0.97,0.30,0
22Q3,152.1,223.09,16,46.20,14.4,2.42,0.60,3
22Q4,164.2,230.75,21,47.20,12.1,7.66,1.00,5
23Q1,161.8,232.5,22,48,-2.4,1.75,0.80,1
23Q2,157.8,238.39,24,48.20,-4,5.89,0.20,2
23Q3,146.1,247.15,28,48.30,-11.7,8.76,0.10,4
23Q4,150.2,260.28,31,48.50,4.1,15.8,0.20,3