Quarter,UCAN Rev,EMEA Rev,LATAM Rev,APAC Rev,UCAN Sub,EMEA Sub,LATAM Sub,APAC Sub
18Q4,2161,1097,567,277,64.76,37.82,26.08,10.61
19Q1,2257,1233,630,320,66.63,42.54,27.55,12.14
19Q2,2501,1319,677,349,66.5,44.23,27.89,12.94
19Q3,2621,1428,741,382,67.11,47.36,29.38,14.49
19Q4,2672,1563,746,418,67.66,51.78,31.42,16.32
20Q1,2703,1723,793,484,69.97,58.73,34.32,19.84
20Q2,2840,1893,785,569,72.9,61.48,36.07,22.49
20Q3,2933,2019,789,635,73.08,62.24,36.32,23.5
20Q4,2980,2137,789,685,73.94,66.7,37.54,25.49
21Q1,3171,2344,837,762,74.38,68.51,37.89,26.85
21Q2,3235,2400,861,799,73.95,68.7,38.66,27.88
21Q3,3258,2432,915,834,74.02,70.5,38.99,30.5
21Q4,3309,2523,964,871,75.22,74.04,39.96,32.63
22Q1,3350,2562,999,917,74.58,73.73,39.61,33.72
22Q2,3538,2457,1030,908,73.28,72.97,39.62,34.8
22Q3,3602,2376,1024,889,73.39,73.53,39.94,36.23
22Q4,3595,2350,1017,857,74.3,76.73,41.7,38.02
23Q1,3609,2518,1070,934,74.4,77.37,41.25,39.48
23Q2,3599,2562,1077,919,75.75,79.81,42.47,40.55
23Q3,3735,2693,1143,948,77.32,83.76,43.65,42.43
23Q4,3931,2784,1156,963,80.13,88.81,46,45.34